,cash,LQD,EFA,IEF,EEM,TLT,SHY,SPY
2009-05-15,0.0,0.0,0.0,0.0,0.0,0.0,1.205333403796041,1.2217383894804145e-10
2009-05-18,0.0,0.0,0.0,0.0,0.0,0.0,1.2041849628556565,1.256444159486785e-10
2009-05-19,0.0,0.0,0.0,0.0,0.0,0.0,1.2049023674999406,1.2549298723123418e-10
2009-05-20,0.0,0.0,0.0,0.0,0.0,0.0,1.2064813501451506,1.2465280121457873e-10
2009-05-21,0.0,0.0,0.0,0.0,0.0,0.0,1.2049023674999406,1.2286246066777593e-10
2009-05-22,0.0,0.0,0.0,0.0,0.0,0.0,1.2051897250306742,1.2260076516199114e-10
2009-05-26,0.0,0.0,0.0,0.0,0.0,0.0,1.203610371442008,1.257408671883507e-10
2009-05-27,0.0,0.0,0.0,0.0,0.0,0.0,1.2033231375590934,1.2349598288820936e-10
2009-05-28,0.0,0.0,0.0,0.0,0.0,0.0,1.2031799533850016,1.2521753040857177e-10
2009-05-29,0.0,0.0,0.0,0.0,0.0,0.0,1.2049023674999408,1.2743487851701022e-10
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1.2039100938338612,1.211035320355599e-10
2009-06-02,0.0,0.0,0.0,0.0,0.0,0.0,1.2034788102420948,1.2120578076586516e-10
2009-06-03,0.0,0.0,0.0,0.0,0.0,0.0,1.2056364646791131,1.196723139873855e-10
2009-06-04,0.0,0.0,0.0,0.0,0.0,0.0,1.2044853034866407,1.2079684874371535e-10
2009-06-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1965766653521914,1.2082236060703463e-10
2009-06-08,0.0,0.0,0.0,0.0,0.0,0.0,1.193412394022808,1.203240364247533e-10
2009-06-09,0.0,0.0,0.0,0.0,0.0,0.0,1.1961451344647878,1.2093741558825659e-10
2009-06-10,0.0,0.0,0.0,0.0,0.0,0.0,1.196001702995049,1.2063070713678354e-10
2009-06-11,0.0,0.0,0.0,0.0,0.0,0.0,1.1961451344647878,1.2116745007181494e-10
2009-06-12,0.0,0.0,0.0,0.0,0.0,0.0,1.1974392325357237,1.2149969554623578e-10
2009-06-15,0.0,0.0,0.0,0.0,0.0,0.0,1.1983016760714373,1.18713945997616e-10
2009-06-16,0.0,0.0,0.0,0.0,0.0,0.0,1.1995965160292859,1.171037926714074e-10
2009-06-17,0.0,0.0,0.0,0.0,0.0,0.0,1.200889624917672,1.16988813169071e-10
2009-06-18,0.0,0.0,0.0,0.0,0.0,0.0,1.1988767620763985,1.1784495758816377e-10
2009-06-19,0.0,0.0,0.0,0.0,0.0,0.0,1.1995965160292859,1.1827933857456154e-10
2009-06-22,0.0,0.0,0.0,0.0,0.0,0.0,1.2011778479831559,1.1473254800265459e-10
2009-06-23,0.0,0.0,0.0,0.0,0.0,0.0,1.2011778479831559,1.1482248109479933e-10
2009-06-24,0.0,0.0,0.0,0.0,0.0,0.0,1.2010337982743233,1.1581194638541957e-10
2009-06-25,0.0,0.0,0.0,0.0,0.0,0.0,1.2033348841810807,1.183307648552564e-10
2009-06-26,0.0,0.0,0.0,0.0,0.0,0.0,1.2039100938338607,1.1802230780960123e-10
2009-06-29,0.0,0.0,0.0,0.0,0.0,0.0,1.2039100938338607,1.1912751997122773e-10
2009-06-30,0.0,0.0,0.0,0.0,0.0,0.0,1.2037666623641219,1.1816369234206937e-10
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.2049471281569695,1.2120784922669715e-10
2009-07-02,0.0,0.0,0.0,0.0,0.0,0.0,1.2062428336496216,1.178996698002858e-10
2009-07-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2066747354805059,1.1788657484307214e-10
2009-07-07,0.0,0.0,0.0,0.0,0.0,0.0,1.2065314276585777,1.1560230798379816e-10
2009-07-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2084028373953168,1.155235968818024e-10
2009-07-09,0.0,0.0,0.0,0.0,0.0,0.0,1.207827504094686,1.1574675088770548e-10
2009-07-10,0.0,0.0,0.0,0.0,0.0,0.0,1.2089787889350414,1.1547104999264962e-10
2009-07-13,0.0,0.0,0.0,0.0,0.0,0.0,1.2082591586299325,1.1828042592127066e-10
